英文描述,中文描述,
"Stand with your feet shoulder-width apart and your knees slightly bent. Hold the cable handle with your arm extended in front of you, parallel to the ground. Keep your elbow slightly bent and your shoulder blades pulled back. Slowly rotate your arm outward, away from your body, while keeping your elbow in the same position. Pause for a moment at the end of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽，膝盖微微弯曲。手臂伸直，平行于地面，握住钢索手柄。保持肘部微微弯曲，肩胛骨向后拉。慢慢将手臂向外旋转，远离身体，同时保持肘部保持原位。动作结束时稍作停顿，然后慢慢回到起始位置。重复至所需次数。,
"Stand up straight with a dumbbell in each hand, palms facing your body. Keep your elbows close to your torso and your upper arms stationary. Exhale and curl the weights while contracting your biceps, bringing the dumbbells as close to your opposite shoulder as possible. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",站直，双手各持一个哑铃，手掌朝向身体。肘部靠近躯干，上臂保持静止。呼气并举起哑铃，同时收缩肱二头肌，将哑铃尽量靠近对侧肩膀。保持收缩姿势短暂停顿，同时收紧肱二头肌。吸气，慢慢将哑铃放回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in your right hand. Bend your knees slightly and press the kettlebell overhead with your right arm, keeping your elbow locked. Rotate your torso to the left, shifting your weight onto your left foot. Bend your left knee and lower your torso towards the ground, keeping your right arm extended overhead. As you lower, keep your eyes on the kettlebell and your chest lifted. Once your left hand touches the ground, push through your left foot and straighten your left leg, driving your hips forward. As you drive your hips forward, use your core and right arm to press the kettlebell back up to the starting position. Repeat for the desired number of repetitions, then switch sides.",双脚与肩同宽站立，右手握壶铃。膝盖微微弯曲，右臂将壶铃压过头顶，肘部保持锁定。将躯干向左旋转，将重心转移到左脚上。弯曲左膝，将躯干向下放，右臂保持伸直。下降时，眼睛盯着壶铃，胸部抬起。左手触地后，用左脚用力，伸直左腿，推动臀部向前。当你向前推髋部时，用核心和右臂将壶铃按回起始位置。重复到所需次数，然后换侧。,
"Stand with your feet shoulder-width apart, holding a kettlebell in each hand with an overhand grip. Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. Allow the kettlebells to hang straight down in front of your body. In one fluid motion, explosively extend your hips and knees while shrugging your shoulders. As the kettlebells rise, pull them up towards your shoulders, keeping your elbows high and out to the sides. Catch the kettlebells at shoulder height, with your palms facing inward and your elbows pointing forward. Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个壶铃，采用上握。膝盖微微弯曲，髋部向前折叠，保持背部挺直，胸部挺立。让壶铃直悬在身体前方。一个流畅的动作中，爆发性地伸展臀部和膝盖，同时耸肩。壶铃升起时，将壶铃拉向肩膀，肘部保持高高并向两侧张开。在壶铃肩高时接住壶铃，手掌朝内，肘部向前。将壶铃放回起始位置，重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in one hand at shoulder height. Bend your knees slightly and engage your core. Press the kettlebell overhead in a straight line, fully extending your arm. As you press the kettlebell overhead, simultaneously dip your knees and quickly straighten them to generate momentum. As the kettlebell reaches its highest point, quickly drop underneath it by bending your knees and hips. Catch the kettlebell with a slight bend in your knees and hips, and your arm fully extended overhead. Stand up straight, fully extending your knees and hips, and stabilize the kettlebell overhead. Lower the kettlebell back to the starting position by bending your knees and hips, and repeat for the desired number of repetitions.",双脚与肩同宽站立，一手握壶铃，保持肩高。膝盖微微弯曲，收紧核心。将壶铃按直线举过头顶，手臂完全伸展。当你将壶铃按在头顶时，同时屈膝并迅速伸直以产生动量。当壶铃达到最高点时，迅速屈膝和臀部，将壶铃压到壶铃下方。膝盖和臀部微微弯曲，手臂完全伸展举过头顶接住壶铃。站直，膝盖和臀部完全伸展，壶铃稳住头顶。弯曲膝盖和臀部，将壶铃降回起始位置，重复至所需次数。,
"Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together. Lower your body towards the ground by bending your elbows, keeping your back straight and core engaged. As you push back up, kick one leg out to the side, extending it fully and engaging your glutes. Return your leg to the starting position and repeat the push-up, alternating legs with each repetition. Continue alternating leg kicks and push-ups for the desired number of repetitions.",从俯卧撑姿势开始，双手略宽于肩宽，双脚并拢。通过弯曲肘部，保持背部挺直，核心收紧，身体向下降低。向上推时，将一条腿向侧踢，完全伸展并收紧臀部。将腿恢复到起始位置，重复俯卧撑，每次重复交替双腿。继续交替做腿踢和俯卧撑，达到所需的重复次数。,
"Lie face down on a mat or bench with your legs fully extended. Have a partner or use a resistance band to secure your ankles. Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",趴在垫子或长凳上，双腿完全伸展。有伴侣或使用阻力带固定脚踝。收紧腿后腱，双腿向臀部抬起，保持膝盖伸直。在顶端稍作停顿，然后慢慢将双腿放回起始位置。重复至所需次数。,
"Stand up straight with a dumbbell in each hand, palms facing forward. Keep your upper arms stationary and curl the dumbbells as high as possible while contracting your biceps. Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions.",站直，双手各握一个哑铃，手掌朝前。保持上臂不动，哑铃尽量弯曲到最高，同时收缩肱二头肌。在顶端暂停片刻，然后慢慢将哑铃放回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart and the barbell on the ground in front of you. Bend your knees and hinge at the hips to lower into a squat position, gripping the barbell with an overhand grip. Keep your back straight and chest up as you drive through your heels to lift the barbell off the ground, extending your hips and knees. As the barbell reaches hip level, explosively pull it upwards, shrugging your shoulders and pulling your elbows high and to the sides. As the barbell reaches its highest point, quickly drop underneath it, pulling yourself into a deep squat position. Catch the barbell overhead with your arms fully extended and your knees bent. Stand up by extending your hips and knees, keeping the barbell overhead. Lower the barbell back down to the starting position by reversing the movement. Repeat for the desired number of repetitions.",双脚与肩同宽站立，杠铃放在你面前的地面上。弯曲膝盖，臀部铰接，降低到深蹲姿势，用上手握住杠铃。保持背部挺直，胸部抬起，用脚跟将杠铃抬离地面，伸展髋关节和膝盖。当杠铃达到臀部水平时，爆发性地向上拉，耸肩，肘部高高向两侧拉。当杠铃达到最高点时，迅速从杠铃下方下移，进入深蹲姿势。双臂完全伸展，膝盖弯曲，在头顶接住杠铃。站起时伸展臀部和膝盖，杠铃保持在头顶。通过反向动作将杠铃放回起始位置。重复到所需的重复次数。,
"Grab the pull-up bar with an underhand grip, hands shoulder-width apart. Hang from the bar with your arms fully extended and your body straight. Engage your back muscles and pull your body up towards the bar, leading with your chest. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",用下手握住引体向上杠铃，双手与肩同宽。双臂完全伸展，身体挺直悬挂在杠铃上。用力背部肌肉，将身体拉向杠铃，胸部引领。继续拉直到下巴高出杠铃。在杠铃顶端稍作停顿，然后慢慢将身体放回起始位置。重复到所需的次数。,
"Start by sitting on the ground with your legs extended in front of you. Place the roller under your glutes, just above your knees. Lean back and place your hands on the ground behind you for support. Engage your glutes and slowly roll the roller forward, bending your knees and bringing them towards your chest. Pause for a moment at the end of the movement, feeling a stretch in your glutes. Slowly roll the roller back to the starting position, extending your legs. Repeat for the desired number of repetitions.",先坐在地上，双腿向前伸展。将滚轮放在臀部下方，膝盖上方。向后倾斜，双手撑在身后地面以提供支撑。收紧臀部，缓慢将滚轮向前滚动，弯曲膝盖并向胸前移动。动作结束时暂停片刻，感受臀部的拉伸感。慢慢将滚轮滚回起始位置，伸展双腿。重复至所需次数。,
"Adjust the seat height of the smith machine so that the bar is at shoulder level. Stand with your feet shoulder-width apart and your knees slightly bent. Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Lift the bar off the rack and step back, maintaining a stable stance. Lower the bar down to the back of your neck, keeping your elbows pointing forward. Press the bar up overhead until your arms are fully extended. Pause for a moment at the top, then slowly lower the bar back down to the starting position. Repeat for the desired number of repetitions.",调整铁匠机的座高，使杠铃与肩平。双脚与肩同宽，膝盖微微弯曲。用过手握法握住杠铃，略宽于肩宽。将杠铃从架子上抬起，后退，保持站姿稳定。将杠铃降低到颈后，肘部向前。将杠铃向上压，直到双臂完全伸展。在顶端稍作停顿，然后慢慢将杠铃放回起始位置。重复到所需的重复次数。,
"Set up the smith machine with the barbell at shoulder height. Stand with your feet shoulder-width apart, toes slightly turned out. Step under the bar and position it across your upper back, resting on your traps. Grip the bar with your hands slightly wider than shoulder-width apart. Unrack the bar and take a step back, maintaining a stable stance. Keeping your chest up and core engaged, initiate the squat by pushing your hips back and bending your knees. Lower your body until your thighs are parallel to the ground, or as low as your flexibility allows. Pause for a moment at the bottom, then drive through your heels to return to the starting position. Repeat for the desired number of repetitions.",把铁匠机架好，杠铃放在肩膀高度。双脚与肩同宽，脚趾微微外翻。从杠铃下方站到横杆上，横跨你的上背部，放在斜方肌上。双手的宽度略大于肩宽，握住杠铃。卸下杠铃，后退一步，保持站姿稳定。保持胸部抬起和核心收紧，开始深蹲时，向后推臀并弯曲膝盖。将身体降低，直到大腿与地面平行，或者尽可能低，直到你的柔韧性允许。在底部稍作停顿，然后用脚跟踩回起始位置。重复到所需的重复次数。,
"Adjust the seat of the smith machine so that the bar is at shoulder height. Sit on the bench with your back against the pad and your feet flat on the ground. Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Extend your arms fully, lifting the bar off the rack and holding it directly above your chest. Lower the bar slowly towards your forehead, keeping your elbows close to your head. Pause for a moment at the bottom, then push the bar back up to the starting position. Repeat for the desired number of repetitions.",调整铁匠机的座椅，使杆子与肩部高度。坐在长椅上，背靠着垫子，双脚平放在地上。用过手握法握住杠铃，间距略宽于肩膀。双臂完全伸展，将杠铃从架子上抬起，直接放在胸口上方。慢慢将杠铃放向额头，肘部靠近头部。在底部暂停片刻，然后将杠铃推回起始位置。重复到所需的重复次数。,
"Adjust the smith machine bar to a height that allows you to comfortably stand with your feet flat on the ground. Position yourself under the bar with your shoulders directly below it and your feet shoulder-width apart. Place the balls of your feet on a raised platform or weight plates, with your heels hanging off the edge. Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Engage your core and keep your back straight throughout the exercise. Slowly raise your heels as high as possible, lifting your body weight onto the balls of your feet. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions.",将铁匠机杆调整到一个让你能舒适地站立、双脚平放在地上的高度。把自己放在杠铃下方，肩膀正好在杠铃下方，双脚与肩同宽。将脚掌放在高起的平台或负重板上，脚跟悬挂在边缘。用过手握法握住杠铃，间距略宽于肩膀。锻炼过程中要收紧核心，保持背部挺直。慢慢抬起脚跟，尽量抬高脚跟，将身体重量抬到脚掌掌上。在顶端稍作停顿，然后慢慢将脚跟放回起始位置。重复到所需的重复次数。,
"Lie face down on the ground with your legs extended. Bend your left knee and reach back with your left hand to grab your left foot or ankle. Gently pull your left foot towards your glutes, feeling a stretch in your left quad. Hold the stretch for 20-30 seconds, then release. Repeat with your right leg.",趴在地上，双腿伸直。弯曲左膝，左手向后伸手抓住左脚或脚踝。轻轻地将左脚拉向臀部，感受左大腿四头肌的拉伸。保持拉伸20-30秒，然后松开。右腿重复。,
"Lie face down on the ground with your legs straight. Bend your right knee and reach back with your right hand to grab your right foot or ankle. Gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh. Hold the stretch for 20-30 seconds. Release and repeat on the other side.",趴在地上，双腿伸直。弯曲右膝，右手向后伸手抓住右脚或脚踝。轻轻地将右脚或脚踝拉向臀部，感受右大腿前侧的拉伸感。保持拉伸20-30秒。放开，另一侧重复。,
"Adjust the resistance level and incline of the elliptical machine to your desired settings. Step onto the pedals of the machine and grip the handles lightly. Begin by pushing down with your feet and pulling the handles towards your body. Continue this motion, alternating between pushing and pulling, to simulate a walking or running motion. Maintain a steady pace and keep your core engaged throughout the exercise. Continue for the desired duration of your cardio workout. Gradually decrease the intensity and speed of the machine before stepping off.",将椭圆机的电阻水平和倾斜度调整到你想要的设置。踩上机器的踏板，轻轻握住把手。先用脚向下压，并将把手拉向身体。继续这个动作，在推拉之间交替，模拟走路或跑步的动作。保持稳定的节奏，并在整个锻炼过程中保持核心的激活。坚持到你理想的有氧锻炼时长。在下车前逐渐降低机器的强度和速度。,
"Lie on your back with your legs extended. Bend one knee and place your foot flat on the ground. Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf. Hold the stretch for 20-30 seconds. Release the stretch and repeat on the other leg.",仰躺，双腿伸直。弯曲一只膝盖，脚平放在地上。用手或毛巾轻轻拉动脚趾，感受小腿的拉伸感。保持拉伸20-30秒。松开拉伸，另一条腿重复。,
"Lie on your back with your legs extended. Bend your right knee and place your right ankle on your left thigh, just above the knee. Grasp your left thigh with both hands and gently pull it towards your chest. Hold the stretch for 20-30 seconds. Release and repeat on the other side.",仰躺，双腿伸直。弯曲右膝，将右脚踝放在左大腿上，膝盖上方。双手抓住左大腿，轻轻拉向胸前。保持拉伸20-30秒。放开，另一侧重复。,
"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engage your abs and lift your shoulders off the ground, curling forward towards your knees. Pause for a moment at the top, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions.",仰躺，膝盖弯曲，双脚平放在地上。双手放在头后，肘部朝外。收紧腹部，抬起肩膀，向膝盖前倾。在顶端稍作停顿，然后慢慢将肩膀放回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a dumbbell in each hand at your sides. Raise your arms out to the sides until they are parallel to the ground, forming a T shape with your body. Pause for a moment, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个哑铃，分布在身侧。将双臂向两侧举起，直到与地面平行，与身体形成T字形。停顿片刻，然后慢慢将手臂放下回到起始位置。重复到所需的重复次数。,
"Sit on a stability ball with your feet flat on the ground and your back straight. Hold a stability ball with both hands and extend your arms straight out in front of you. Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles. Hold the stretch for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions.",坐在稳定球上，双脚平放在地上，背部挺直。双手握住稳定球，双臂伸直在身前。慢慢将稳定球放向胸部，感受胸大肌的拉伸。保持拉伸几秒钟，然后慢慢回到起始位置。重复到所需的重复次数。,
"Sit on a preacher bench with a dumbbell in each hand, palms facing up. Rest your upper arms on the pad of the preacher bench, allowing your arms to fully extend. Keeping your upper arms stationary, exhale and curl the dumbbell in your right hand as you contract your biceps. Continue to curl the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Pause for a moment, then inhale and slowly lower the dumbbell back to the starting position. Repeat the movement with your left arm. Continue alternating arms for the desired number of repetitions.",坐在牧师长椅上，双手各拿一个哑铃，手掌朝上。将上臂放在讲道者长椅的垫子上，让双臂完全伸展。保持上臂静止，呼气并弯曲右手的哑铃，同时收紧肱二头肌。继续弯举哑铃，直到肱二头肌完全收缩，哑铃与肩平。暂停片刻，然后吸气，慢慢将哑铃放回起始位置。用左臂重复这个动作。继续交替挥臂，达到所需的重复次数。,
"Sit on an exercise ball with your feet flat on the ground and your back straight. Hold a dumbbell in each hand with your palms facing forward and your arms fully extended. Slowly curl the dumbbells towards your shoulders, keeping your elbows close to your sides. Pause for a moment at the top of the movement, then slowly lower the dumbbells back to the starting position. While performing the bicep curl, raise one leg off the ground and hold it in the air for the duration of the exercise. Repeat for the desired number of repetitions, then switch legs and repeat.",坐在健身球上，双脚平放在地上，背部挺直。双手各握一个哑铃，手掌朝前，双臂完全伸展。慢慢将哑铃向肩膀弯曲，肘部靠近身体两侧。在动作顶端暂停片刻，然后慢慢将哑铃放回起始位置。做肱二头肌弯举时，抬起一条腿，并在整个动作过程中保持在空中。重复到所需次数，然后换腿重复。,
"Lie flat on the floor with your face down and your arms extended straight out in front of you, holding a dumbbell in each hand. Rotate your palms so they are facing down towards the floor. Keeping your arms straight, lift the dumbbells off the floor by contracting your forearms. Continue lifting until your forearms are fully contracted and the dumbbells are at shoulder level. Hold for a moment, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.",趴在地上，脸朝下，双臂伸直，双手各握一个哑铃。旋转手掌，使其朝向地面。保持手臂伸直，通过收缩前臂将哑铃抬离地面。继续举重直到前臂完全收缩，哑铃达到肩部水平。保持一会儿，然后慢慢将哑铃放回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart and hold a towel with both hands behind your head. Keep your elbows close to your ears and your upper arms stationary. Slowly extend your forearms upward, squeezing your triceps at the top. Pause for a moment, then slowly lower the towel back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手握毛巾放在头后。肘部靠近耳朵，上臂保持静止。慢慢将前臂向上伸展，在上方收紧三头肌。停顿片刻，然后慢慢把毛巾放回起始位置。重复到所需的重复次数。,
"Adjust the machine to your desired weight and height. Kneel down on the pad facing the machine, with your hands gripping the handles. Lower your body by bending your elbows, keeping your back straight and close to the machine. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions.",调整机器以符合你想要的重量和高度。跪在垫子上，面向机器，双手握紧手柄。弯曲肘部，保持背部挺直并贴近器械，降低身体。在底部稍作停顿，然后推自己回到起始位置。重复到所需的重复次数。,
"Sit on a flat bench with a dumbbell in each hand, resting on your thighs. Using your thighs to help raise the dumbbells, lift the dumbbells one at a time so that you can hold them in front of you at shoulder width. Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position. As you breathe in, slowly lower the dumbbells to your side until they are about level with your chest. As you exhale, use your triceps to lift the dumbbells back to the starting position. Make sure to use only your triceps and do not use your forearms or biceps to help lift the dumbbells. After a second pause at the contracted position, repeat the movement for the prescribed amount of repetitions.",坐在平坦的长凳上，双手各握一个哑铃，双手放在大腿上。用大腿帮助抬起哑铃，一次抬起哑铃，这样你可以将哑铃举到肩膀宽度前方。达到肩宽后，将手腕向前旋转，使手掌朝向背对。这就是你的起始姿势。吸气时，慢慢将哑铃放到身体两侧，直到与胸口平齐。呼气时，用肱三头肌将哑铃抬回起始位置。确保只用肱三头肌，不要用前臂或肱二头肌来帮助举哑铃。在收缩位置停顿一会儿后，重复该动作，完成规定的重复次数。,
Adjust the machine to your desired height and secure your knees on the pad. Grasp the handles with a wide grip and keep your elbows slightly bent. Lower your body by bending your elbows until your upper arms are parallel to the floor. Push yourself back up to the starting position by extending your arms. Repeat for the desired number of repetitions.,调整器械到你想要的高度，并把膝盖固定在垫子上。用宽握力握住手柄，肘部保持微微弯曲。通过弯曲肘部，降低身体，直到上臂与地面平行。伸展双臂，将自己推回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart. Bend your knees and lower your body into a squat position. Jump explosively upwards, extending your legs and arms. While in the air, spread your legs apart and bring your arms out to the sides. Land softly with your feet shoulder-width apart, bending your knees to absorb the impact. Repeat for the desired number of repetitions.",双脚与肩同宽站立。弯曲膝盖，身体下蹲。爆发性地向上跳，伸展双腿和手臂。空中时，双腿分开，双臂向两侧展开。双脚与肩同宽轻柔着陆，弯曲膝盖以吸收冲击。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart. Step forward with your right foot, bending your knee and lowering your body into a lunge position. Push off with your right foot and step back to the starting position. Repeat the movement with your left foot, alternating legs with each step. Continue stepping back and forth, maintaining a steady pace. Repeat for the desired duration or number of repetitions.",双脚与肩同宽站立。右脚向前迈步，弯曲膝盖，身体下垂进入弓步姿势。右脚蹬地，回到起始位置。左脚重复动作，每步交替迈步。继续前后迈步，保持稳定节奏。重复到所需的时长或次数。,
"Sit on a bench or chair with your feet flat on the ground. Hold a dumbbell in one hand with an underhand grip, resting your forearm on your thigh. Allow your wrist to extend, letting the dumbbell roll down towards your fingers. Slowly curl your wrist back up, bringing the dumbbell towards your forearm. Repeat for the desired number of repetitions, then switch to the other hand.",坐在长椅或椅子上，双脚平放在地上。一只手握着哑铃，前臂放在大腿上。让手腕伸展，让哑铃向手指滚动。慢慢将手腕卷回，将哑铃拉向前臂。重复到所需次数，然后换到另一只手。,
"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface. Position your hands behind your head or crossed over your chest. Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",将稳定球放在地上，俯卧在球上，臀部放在球上，双脚靠在墙壁或其他稳定表面上。双手放在头后或交叉放在胸前。收紧核心，缓慢抬起上半身离开球，伸展背部直到身体从头部到脚跟形成一条直线。在顶端稍作停顿，然后慢慢将上半身放回起始位置。重复至所需次数。,
"Adjust the incline bench to a 30-45 degree angle. Sit on the bench with a dumbbell in one hand, resting it on your thigh. Lie back on the bench, keeping your feet flat on the ground. Hold the dumbbell with your arm extended straight up over your chest. Lower the dumbbell out to the side in a wide arc, keeping a slight bend in your elbow. Pause when your arm is parallel to the ground, then reverse the motion to bring the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms.",将长椅倾斜角度调整为30-45度。坐在长凳上，一手拿着哑铃，放在大腿上。躺在长凳上，双脚平放在地上。双臂直伸过胸前，握住哑铃。将哑铃向一侧放下，形成一个宽弧线，肘部保持轻微弯曲。当手臂与地面平行时暂停，然后反转动作将哑铃带回起始位置。重复到所需次数，然后换臂。,
"Attach the band to a sturdy anchor point at waist height. Stand perpendicular to the anchor point with your feet shoulder-width apart. Grasp the band handle with both hands and step away from the anchor point to create tension in the band. Bring your hands to your chest, keeping your elbows bent and close to your body. Engage your core and maintain a stable stance. Extend your arms straight out in front of you, pushing the band away from your body. Hold the extended position for a few seconds, focusing on maintaining tension in your core. Slowly bring your hands back to your chest, resisting the pull of the band. Repeat for the desired number of repetitions.",将弹力带固定在腰部高度的坚固锚点上。站立时与锚点垂直，双脚与肩同宽。双手握紧弹力带把手，离开固定点以在弹力带中产生张力。将双手放向胸前，保持肘部弯曲并贴近身体。收紧核心并保持稳定站姿。双臂伸直，将弹力带从身体外推开。保持伸展姿势几秒钟，专注于保持核心的紧张。慢慢将手收回胸前，抵抗弹力带的拉扯。重复至所需次数。,
"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand. Place your feet flat on the ground and let your arms hang straight down with your palms facing your body. Keeping your arms straight, shrug your shoulders up towards your ears as high as possible. Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions.",将一张倾斜的长凳摆成45度角，双手各握一个哑铃坐下。双脚平放在地上，双臂直垂，手掌朝向身体。保持手臂伸直，肩膀尽量往耳朵方向耸肩。保持收缩片刻，然后慢慢将肩膀放回起始位置。重复到所需的重复次数。,
"Sit on the edge of a bench or have someone hold your feet down. Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",坐在长凳边缘，或让别人扶着你的脚。平躺，膝盖弯曲，双脚平放在地上。双手放在头后，肘部朝外。用力腹部，缓慢抬起上半身，向前蜷曲直到躯干呈45度角。在顶端稍作停顿，然后慢慢将上半身放回起始位置。重复到所需的重复次数。,
"Sit on an exercise ball with a dumbbell in one hand and your feet flat on the ground. Walk your feet forward, rolling the ball until your upper back is supported on the ball and your head, neck, and shoulders are off the ball. Extend your arm with the dumbbell straight up above your chest, palm facing inward. Slowly lower the dumbbell out to the side, keeping a slight bend in your elbow. Pause for a moment when your arm is parallel to the ground. Engage your chest muscles to bring the dumbbell back up to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在健身球上，一手拿哑铃，双脚平放在地上。双脚向前移动，滚动球，直到上背部支撑在球上，头部、颈部和肩膀离开球。手臂伸直，哑铃直举在胸前，手掌向内。慢慢将哑铃放向一侧，保持肘部微微弯曲。当手臂与地面平行时暂停片刻。用力胸肌，将哑铃抬回起始位置。重复至所需次数，然后换臂。,
"Sit on a preacher bench with a dumbbell in one hand and your upper arm resting on the pad. Hold the dumbbell with a neutral grip (palms facing your body). Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在牧师长椅上，一手拿哑铃，上臂放在哑铃垫上。保持中立握法（手掌朝向身体）。保持上臂静止，呼气，将哑铃向肩膀弯曲。在顶端暂停，收紧肱二头肌。吸气，缓慢将哑铃放回起始位置。重复到所需次数，然后换臂。,
"Sit on a preacher curl bench with your feet flat on the floor. Hold a dumbbell in one hand with an underhand grip, resting your upper arm against the preacher pad. Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在牧师弯举凳上，双脚平放在地上。一只手握哑铃，反手握法，上臂靠在讲道垫上。保持上臂静止，呼气，将哑铃向肩膀弯曲。在顶端稍作停顿，然后吸气，慢慢将哑铃放回起始位置。重复到所需次数，然后换臂。,
"Sit on a bench with your feet flat on the ground and hold a dumbbell in one hand, palm facing up. Rest your elbow on the inside of your thigh, just above the knee. Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms.",坐在长凳上，双脚平放在地上，一只手握着哑铃，手掌朝上。肘部放在大腿内侧，膝盖上方。保持上臂不动，呼气，将哑铃向肩膀弯曲。在顶端稍作停顿，收紧肱二头肌。吸气，缓慢将哑铃放回起始位置。重复到所需次数，然后换臂。,
"Attach a rope handle to a high pulley and kneel down facing away from the machine. Hold the rope handle with both hands and place it behind your head, keeping your elbows out to the sides. Keeping your hips stationary, flex your waist and crunch your torso down towards your thighs. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions.",将绳索把手连接到高滑轮上，跪下背对机器。双手握住绳柄，将其放在头后，肘部保持两侧外开。保持臀部不动，弯曲腰部，向大腿方向弯曲躯干。在底部暂停片刻，然后慢慢回到起始位置。重复到所需的重复次数。,
"Sit on a flat bench with a dumbbell in one hand, palm facing towards your body. Place your feet flat on the ground and keep your back straight. Raise the dumbbell to shoulder height, keeping your elbow close to your body. Press the dumbbell upwards until your arm is fully extended. Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch to the other arm.",坐在平坦的长凳上，一只手拿着哑铃，手掌朝向身体。双脚平放在地上，保持背部挺直。将哑铃抬至肩膀高度，肘部靠近身体。将哑铃向上按压，直到手臂完全伸展。在哑铃顶端稍作停顿，然后慢慢将哑铃放回起始位置。重复至所需次数，然后切换到另一只手臂。,
"Stand with your feet shoulder-width apart, holding a dumbbell in one hand with an overhand grip. Let the dumbbell hang at arm's length in front of your thighs, with your palm facing your body. Keeping your back straight and your core engaged, exhale and lift the dumbbell straight up towards your chin, leading with your elbow. Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch to the other arm.",双脚与肩同宽站立，一手握哑铃，采用上手握法。哑铃悬挂在大腿前方的臂长处，手掌朝向身体。保持背部挺直，核心收紧，呼气，将哑铃直举至下巴方向，肘部引导。在顶端稍作停顿，然后吸气，慢慢将哑铃放回起始位置。重复至所需次数，然后切换到另一只手臂。,
